,region,subregion,eligible_voters_19,eligible_voters_14,voters_19,voters_14,invalid_19,invalid_14,valid_19,valid_14,afd_19,afd_14,nr,state,state_abbrev,2013,2014,2015,2016,2017,2018,_merge
399,Sächsische Schweiz-Osterzgebirge,14.0,201720.0,206844.0,135002.0,111731.0,2860.0,3468.0,132142.0,108263.0,43478.0,13574.0,317.,Sachsen,LK,"7,44","7,81","7,97",8.31,8.33,8.32,both
400,Leipzig,14.0,454329.0,434618.0,279855.0,185252.0,3360.0,3382.0,276495.0,181870.0,42954.0,15277.0,190.,Sachsen,LK,"9,32","9,5","9,83",9.94,9.97,9.95,both
401,Leipzig,14.0,454329.0,434618.0,279855.0,185252.0,3360.0,3382.0,276495.0,181870.0,42954.0,15277.0,191.,Sachsen,KS,"12,91","13,04","13,33",13.5,13.43,13.17,both
402,Leipzig,14.0,213888.0,218976.0,132163.0,105298.0,2783.0,3096.0,129380.0,102202.0,32594.0,9171.0,190.,Sachsen,LK,"9,32","9,5","9,83",9.94,9.97,9.95,both
403,Leipzig,14.0,213888.0,218976.0,132163.0,105298.0,2783.0,3096.0,129380.0,102202.0,32594.0,9171.0,191.,Sachsen,KS,"12,91","13,04","13,33",13.5,13.43,13.17,both
404,Nordsachsen,14.0,162384.0,167553.0,94871.0,75879.0,2339.0,2553.0,92532.0,73326.0,24687.0,5957.0,245.,Sachsen,LK,"10,14","10,32","10,53",10.97,11.2,11.28,both
405,Dessau-Roßlau,15.0,66949.0,71682.0,36512.0,33690.0,798.0,859.0,35714.0,32831.0,7303.0,2689.0,69.,Sachsen-Anhalt,KS,"12,29","12,44","12,64",12.76,12.82,12.87,both
406,Halle (Saale),15.0,185329.0,190680.0,106938.0,77432.0,1561.0,1376.0,105377.0,76056.0,16930.0,5379.0,131.,Sachsen-Anhalt,KS,"17,57","17,34","17,13",16.85,16.43,16.35,both
407,Magdeburg,15.0,188108.0,193706.0,102815.0,74684.0,1615.0,1533.0,101200.0,73151.0,16283.0,5063.0,204.,Sachsen-Anhalt,KS,"14,64","14,76","14,89",14.8,14.63,14.51,both
408,Altmarkkreis Salzwedel,15.0,69354.0,73088.0,38977.0,33174.0,889.0,1062.0,38088.0,32112.0,6538.0,1622.0,7.,Sachsen-Anhalt,LK,"11,85","11,79","11,7",12.1,12.31,12.28,both
409,Anhalt-Bitterfeld,15.0,135013.0,143863.0,71757.0,61292.0,1860.0,2275.0,69897.0,59017.0,15786.0,4761.0,13.,Sachsen-Anhalt,LK,"11,62","11,79",12,12.25,12.48,12.66,both
410,Börde,15.0,142547.0,147327.0,76206.0,63238.0,1665.0,2382.0,74541.0,60856.0,15221.0,3274.0,43.,Sachsen-Anhalt,LK,"10,62","10,76","10,6",10.71,10.71,10.76,both
411,Burgenlandkreis,15.0,148580.0,158118.0,82394.0,72570.0,2136.0,2462.0,80258.0,70108.0,19749.0,4813.0,51.,Sachsen-Anhalt,LK,"10,74","11,04","11,27",11.43,11.54,11.56,both
412,Harz,15.0,182756.0,191721.0,97792.0,78141.0,2355.0,2534.0,95437.0,75607.0,17111.0,4123.0,136.,Sachsen-Anhalt,LK,"11,99","12,42","12,32",12.51,12.39,12.34,both
413,Jerichower Land,15.0,75723.0,79325.0,41481.0,38036.0,1135.0,1405.0,40346.0,36631.0,7831.0,1850.0,162.,Sachsen-Anhalt,LK,"11,74","11,82","11,58",11.9,11.88,11.94,both
414,Mansfeld-Südharz,15.0,115994.0,124226.0,62291.0,56178.0,1754.0,2231.0,60537.0,53947.0,15312.0,3284.0,212.,Sachsen-Anhalt,LK,"11,27","11,62","11,81",12.2,12.22,12.16,both
415,Saalekreis,15.0,154540.0,161167.0,88259.0,72070.0,2306.0,2581.0,85953.0,69489.0,20915.0,4687.0,312.,Sachsen-Anhalt,LK,"11,3","11,45","11,49",11.66,11.6,11.59,both
416,Salzlandkreis,15.0,161192.0,171435.0,80658.0,69598.0,2206.0,2607.0,78452.0,66991.0,16992.0,3559.0,319.,Sachsen-Anhalt,LK,"12,33","12,54","12,62",12.86,12.95,13.1,both
417,Stendal,15.0,93514.0,97915.0,50842.0,41907.0,1044.0,1403.0,49798.0,40504.0,9638.0,2132.0,345.,Sachsen-Anhalt,LK,"11,92","12,15","12,17",12.49,12.42,12.33,both
418,Wittenberg,15.0,106738.0,112612.0,61436.0,52604.0,1520.0,1899.0,59916.0,50705.0,13075.0,3369.0,390.,Sachsen-Anhalt,LK,"9,96","10,29","10,23",10.42,10.48,10.56,both
419,Erfurt,16.0,165659.0,167978.0,100627.0,80621.0,1454.0,1513.0,99173.0,79108.0,16672.0,5731.0,93.,Thüringen,KS,"11,48","11,45","11,4",11.29,11.17,11.19,both
420,Gera,16.0,76771.0,81727.0,43578.0,35553.0,702.0,837.0,42876.0,34716.0,12698.0,3875.0,116.,Thüringen,KS,"11,62","11,9","11,88",11.84,11.77,11.85,both
421,Jena,16.0,82364.0,84679.0,53518.0,44245.0,575.0,583.0,52943.0,43662.0,6738.0,2968.0,161.,Thüringen,KS,"5,81","5,7","5,73",5.87,5.94,5.91,both
422,Suhl,16.0,30717.0,33385.0,17351.0,15066.0,292.0,354.0,17059.0,14712.0,3146.0,1157.0,352.,Thüringen,KS,"10,03","10,11","10,26",10.37,10.55,10.81,both
423,Weimar,16.0,49921.0,50930.0,31460.0,25440.0,403.0,457.0,31057.0,24983.0,4350.0,1414.0,380.,Thüringen,KS,"10,79","10,49","10,58",10.63,10.75,10.74,both
424,Eisenach,16.0,33008.0,34353.0,19656.0,17736.0,315.0,319.0,19341.0,17417.0,3874.0,879.0,85.,Thüringen,KS,"11,87","12,16","12,24",12.23,12.06,11.91,both
425,Eichsfeld,16.0,80973.0,83965.0,53326.0,48132.0,935.0,1208.0,52391.0,46924.0,9786.0,2775.0,82.,Thüringen,LK,"6,19","6,27","6,34",6.33,6.32,6.14,both
426,Nordhausen,16.0,69807.0,72675.0,41083.0,35305.0,793.0,962.0,40290.0,34343.0,8992.0,1901.0,244.,Thüringen,LK,"9,47","9,82","9,81",10.04,10.19,10.42,both
427,Wartburgkreis,16.0,98890.0,104301.0,61886.0,56774.0,1348.0,1680.0,60538.0,55094.0,13890.0,3460.0,377.,Thüringen,LK,"7,53","7,68","7,86",8.01,8.05,8.01,both
428,Unstrut-Hainich-Kreis,16.0,84351.0,88204.0,50181.0,43760.0,1072.0,1302.0,49109.0,42458.0,11351.0,2607.0,364.,Thüringen,LK,"9,8","9,95","9,79",9.96,9.91,10.21,both
429,Kyffhäuserkreis,16.0,63063.0,66767.0,37495.0,34500.0,1049.0,1164.0,36446.0,33336.0,8471.0,1636.0,182.,Thüringen,LK,"10,88","10,97",11,11.4,11.4,11.56,both
430,Schmalkalden-Meiningen,16.0,104437.0,110551.0,63883.0,57607.0,1456.0,1757.0,62427.0,55850.0,13895.0,3728.0,322.,Thüringen,LK,"8,92","9,11",9,9.44,9.54,9.54,both
431,Gotha,16.0,107910.0,112936.0,64599.0,58637.0,1409.0,1705.0,63190.0,56932.0,14385.0,4272.0,123.,Thüringen,LK,"9,66","9,73","9,88",10.32,10.45,10.59,both
432,Sömmerda,16.0,57450.0,59940.0,35151.0,32190.0,828.0,1121.0,34323.0,31069.0,8493.0,2106.0,336.,Thüringen,LK,"9,03","9,21","9,22",9.49,9.47,9.54,both
433,Hildburghausen,16.0,52476.0,55364.0,33914.0,29043.0,719.0,849.0,33195.0,28194.0,8030.0,1851.0,150.,Thüringen,LK,"8,01","8,25","8,11",8.27,8.35,8.59,both
434,Ilm-Kreis,16.0,85619.0,89599.0,54305.0,47319.0,1113.0,1543.0,53192.0,45776.0,13419.0,4515.0,159.,Thüringen,LK,"9,18","9,21","9,27",9.5,9.49,9.57,both
435,Weimarer Land,16.0,66547.0,68439.0,43772.0,38718.0,919.0,1143.0,42853.0,37575.0,10449.0,2797.0,381.,Thüringen,LK,"9,3","9,36","9,37",9.54,9.49,9.46,both
436,Sonneberg,16.0,48378.0,51674.0,27807.0,24489.0,524.0,855.0,27283.0,23634.0,7206.0,1616.0,337.,Thüringen,LK,"8,83","8,81","8,71",8.82,8.87,8.93,both
437,Saalfeld-Rudolstadt,16.0,88342.0,93580.0,53882.0,47555.0,1034.0,1405.0,52848.0,46150.0,14592.0,4107.0,314.,Thüringen,LK,"7,45","7,81","7,92",8.11,8.18,8.23,both
438,Saale-Holzland-Kreis,16.0,68278.0,70654.0,45101.0,41321.0,1003.0,1171.0,44098.0,40150.0,10210.0,3920.0,311.,Thüringen,LK,"7,4","7,4","7,34",7.46,7.43,7.5,both
439,Saale-Orla-Kreis,16.0,67029.0,71195.0,42514.0,38529.0,884.0,1181.0,41630.0,37348.0,11264.0,3114.0,313.,Thüringen,LK,"7,48","7,56","7,47",7.56,7.52,7.47,both
440,Greiz,16.0,82940.0,88102.0,53197.0,48740.0,1139.0,1551.0,52058.0,47189.0,13297.0,4559.0,126.,Thüringen,LK,"7,42","7,77","7,84",7.96,7.8,7.76,both
441,Altenburger Land,16.0,75936.0,80935.0,42954.0,39093.0,1053.0,1436.0,41901.0,37657.0,11371.0,3023.0,5.,Thüringen,LK,"8,29","8,66","8,72",8.84,8.87,8.95,both
